timestamp,"market_cap-weighted (max_weight=0.05, min_volume=1000000)","market_cap-weighted (max_weight=0.05, min_volume=10000000)","market_cap-weighted (max_weight=0.1, min_volume=1000000)","market_cap-weighted (max_weight=0.1, min_volume=10000000)","market_cap-weighted (max_weight=0.2, min_volume=1000000)","market_cap-weighted (max_weight=0.2, min_volume=10000000)"
1397044800000,171.684455714,38.9559237391,171.684455714,38.9559237391,111.384474655,38.9559237391
1397131200000,146.307835849,31.460118203,146.307835849,31.460118203,94.9207740798,31.460118203
1397217600000,150.174042427,32.2910681448,150.174042427,32.2910681448,97.4290698182,32.2910681448
1397304000000,158.846373877,34.1558301323,158.846373877,34.1558301323,103.055456194,34.1558301323
1397390400000,195.380896503,32.5356827061,195.380896503,32.5356827061,126.758118107,32.5356827061
1397476800000,254.1002112,37.76814782,254.1002112,37.76814782,164.853704526,37.76814782
1397563200000,286.09116794,42.1098204746,286.09116794,42.1098204746,194.521921917,42.1098204746
1397649600000,288.182972243,44.6608761967,288.182972243,44.6608761967,206.878323282,44.6608761967
1397736000000,300.639721363,41.1566790747,300.639721363,41.1566790747,215.820667624,41.1566790747
1397822400000,306.085816453,39.5207432689,306.085816453,39.5207432689,219.730263712,39.5207432689
1397908800000,329.760927778,41.7586148995,329.760927778,41.7586148995,236.725949808,41.7586148995
1397995200000,329.416749339,43.0904862116,329.416749339,43.0904862116,236.478873938,43.0904862116
1398081600000,317.075493017,42.3301964623,317.075493017,42.3301964623,227.619438576,42.3301964623
1398168000000,283.909435647,41.6405787763,283.909435647,41.6405787763,203.810473441,41.6405787763
1398254400000,283.235623093,40.8844858225,283.235623093,40.8844858225,203.326762658,40.8844858225
1398340800000,284.100781804,40.5564213473,284.100781804,40.5564213473,203.947835381,40.5564213473
1398427200000,232.434077148,33.8892458809,232.434077148,33.8892458809,166.857784066,33.8892458809
1398513600000,272.226540355,34.7301388904,272.226540355,34.7301388904,195.423656655,34.7301388904
1398600000000,252.405802816,34.7301388904,252.405802816,34.7301388904,181.194915393,34.7301388904
1398686400000,231.209154992,31.3602596363,231.209154992,31.3602596363,165.978447442,31.3602596363
1398772800000,248.345754723,33.6384079966,248.345754723,33.6384079966,178.280322849,33.6384079966
1398859200000,250.983522492,32.9627235968,250.983522492,32.9627235968,180.173900978,32.9627235968
1398945600000,255.403468694,33.888886836,255.403468694,33.888886836,183.346854093,33.888886836
1399032000000,246.866442487,32.9915286566,246.866442487,32.9915286566,177.218366854,32.9915286566
1399118400000,243.953815326,32.9915286566,243.953815326,32.9915286566,175.12747502,32.9915286566
1399204800000,236.05111291,32.9915286566,236.05111291,32.9915286566,169.454350712,32.9915286566
1399291200000,236.127936705,32.9915286566,236.127936705,32.9915286566,169.50950032,32.9915286566
