timestamp,"market_cap-weighted (max_weight=0.1, min_volume=10000)","market_cap-weighted (max_weight=0.1, min_volume=100000)","market_cap-weighted (max_weight=0.1, min_volume=1000000)","market_cap-weighted (max_weight=0.2, min_volume=10000)","market_cap-weighted (max_weight=0.2, min_volume=100000)","market_cap-weighted (max_weight=0.2, min_volume=1000000)","market_cap-weighted (max_weight=0.3, min_volume=10000)","market_cap-weighted (max_weight=0.3, min_volume=100000)","market_cap-weighted (max_weight=0.3, min_volume=1000000)"
1457611200000,101.752055605,2320.25100075,7591.24701502,87.1065964061,195.868724526,4795.87894253,72.8439266935,108.330979564,887.525711755
1457697600000,105.560998039,2395.49383565,7984.01241804,89.9119214241,201.551589504,5018.08089509,74.4328003905,110.556497416,911.816003603
1457784000000,106.268874642,2410.30968275,7998.40757288,91.959356573,206.166123925,5082.86429517,77.3072627682,114.847466238,945.694422074
1457870400000,107.56095426,2455.89532536,8346.95741921,93.321869081,209.435526654,5304.36233123,79.0412598759,117.43726411,986.64136577
1457956800000,104.855176303,2396.80706329,7684.33323294,91.107700118,204.631565129,4985.69741865,76.9093823726,114.33355611,950.571762643
1458043200000,103.796572257,2351.42077205,7629.84889919,90.4679447065,202.876672998,4950.34725958,76.3601428684,113.415496694,943.831910583
1458129600000,104.331381647,2369.66168584,8241.70723522,90.7505439862,203.793028286,5347.32907103,76.8423787769,114.165278343,976.0175781
1458216000000,102.491181765,2317.96274508,9074.63082589,87.2716119704,195.371449396,5887.74095453,72.4842616579,107.487197248,938.245235453
1458302400000,98.3520060759,2227.76417546,8942.79287636,82.4057814823,184.125783219,5821.61703803,67.0763190822,99.3828142589,865.240139199
1458388800000,101.416591839,2315.9053942,9692.73973908,84.8562057359,190.064231631,6309.8206109,69.8614975576,103.590491977,913.521519568
1458475200000,101.436456179,2324.56926755,9617.51892378,84.5042117267,189.108972253,6260.85304718,69.458206929,102.904469847,906.432106734
1458561600000,103.83903619,2397.14020321,10122.9519292,86.2610783463,195.238082331,6589.88195755,71.1124466641,105.946602475,954.068166255
