timestamp,"30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=10000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=100000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=1000000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=10000000)","30 day balanced: market_cap-weighted (max_weight=1, min_volume=0)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=10000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=100000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=1000000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=10000000)","30 day balanced: volume-weighted (max_weight=1, min_volume=0)",bitcoin
1419681600000,1951.55069094,257.5291256,12.1461822318,11.5150793131,37.2474363058,69.52273071,38.5970900484,12.1461822318,11.5150793131,17.8422165984,224.029278645
1419768000000,1886.59597504,248.733258882,11.7157392825,10.9661684288,35.6941028315,67.3929568354,37.2807569168,11.7157392825,10.9661684288,17.1565867648,218.689666728
1419854400000,1915.61694396,251.265578046,11.8856313363,11.0840567432,36.2373582835,68.2965549732,37.6612399517,11.8856313363,11.0840567432,17.4020473985,219.865143667
1419940800000,1877.09656108,247.049081605,11.7091349865,10.8112730378,35.3935056888,67.0332221742,37.0299445685,11.7091349865,10.8112730378,17.0096836436,217.1596528
1420027200000,1893.29558387,249.753901766,11.8026696112,10.9071933882,35.6692318647,67.9110638668,37.4367595512,11.8026696112,10.9071933882,17.164733509,218.123000498
1420113600000,1917.31903608,252.777845799,11.9083588391,11.1721089668,36.2452475679,68.4477943345,37.887180937,11.9083588391,11.1721089668,17.4005825606,220.771902871
1420200000000,1916.19084404,251.830559543,11.8415139614,11.0807811704,35.8927913241,68.1749484831,37.7455115669,11.8415139614,11.0807811704,17.2371255514,219.86953916
1420286400000,1808.90748553,237.801992891,10.9988617139,10.3840980124,33.5732772088,64.0364451987,35.6382640726,10.9988617139,10.3840980124,16.0806831433,212.957598453
1420372800000,1611.08321583,213.188323163,9.59863338307,8.88447476713,28.954459702,57.1074067869,31.9498701298,9.59863338307,8.88447476713,13.961791248,197.580424406
1420459200000,1551.31682758,204.93761012,9.15670566771,8.2392257961,27.1217776493,55.2728616483,30.712113576,9.15670566771,8.2392257961,13.186074041,190.405629673
1420545600000,1583.12987015,208.792752735,9.39629924708,8.38467814856,27.6966357119,56.5539632576,31.2915849161,9.39629924708,8.38467814856,13.4478063239,192.086306197
1420632000000,1630.16350769,215.326733058,9.6861419639,9.0433646199,29.4509804975,58.1116643753,32.2722220938,9.6861419639,9.0433646199,14.2157807003,199.631297727
1420718400000,1636.30477685,214.85423865,9.65059088206,9.15365203732,29.7995681573,58.8007526755,32.2011748063,9.65059088206,9.15365203732,14.3719816105,200.848589144
