"market_cap-weighted (max_weight=0.2, min_volume=0)","market_cap-weighted (max_weight=0.2, min_volume=10000)","market_cap-weighted (max_weight=1, min_volume=0)","market_cap-weighted (max_weight=1, min_volume=10000)",timestamp,"volume-weighted (max_weight=0.2, min_volume=0)","volume-weighted (max_weight=0.2, min_volume=10000)","volume-weighted (max_weight=1, min_volume=0)","volume-weighted (max_weight=1, min_volume=10000)"
2672.56655536,415.531560508,58.9858720035,33.8162506047,1490097600000,1636455.71372,1602233.93488,1975.67392573,1923.51853246
2647.2488098,411.026335789,57.2322560187,32.7947843155,1490184000000,1634272.79906,1600054.40243,1937.80294199,1886.53567308
2658.24345893,412.750647722,55.7403915237,31.9355846389,1490270400000,1657369.72264,1622582.82255,1907.12900086,1856.55798662
2710.74344936,420.838213591,52.8026134103,30.2399800398,1490356800000,1701722.45227,1666031.97543,1869.15234944,1819.48501448
2567.83362497,398.899740758,47.202684683,27.030022721,1490443200000,1629260.41314,1595187.22887,1725.38480767,1679.52119141
2703.92908214,419.030751447,51.6750028927,29.5846014991,1490529600000,1733134.73494,1696463.81276,1877.49846153,1827.51870314
2766.64141406,428.654125457,53.4685826117,30.6113582559,1490616000000,1802684.65359,1764515.45692,1946.83675753,1894.96500428
2801.78547319,433.718713928,57.7243822764,33.0536966767,1490702400000,2266264.66575,2219505.32556,2271.12909971,2210.7740226
2904.05078078,450.006055682,57.9258951412,33.1692200317,1490788800000,2344334.05419,2296052.76876,2295.69138403,2234.63636417
2976.02239813,461.989774445,56.7417522094,32.4944648825,1490875200000,2516831.94891,2465036.42443,2390.85584956,2327.36013761
3206.88072551,497.895187848,58.3383219521,33.3974573782,1490961600000,2735194.68191,2679342.14271,2545.83637879,2478.26591494
3319.28737133,515.254623832,61.806178085,35.3837684814,1491048000000,2818909.60773,2761347.43692,2671.8736003,2600.99084578
3652.53367084,568.022164545,63.6004938046,36.4116024206,1491134400000,3157743.29192,3093327.38052,2867.34390191,2791.36440309
3867.97180478,601.144547597,67.6882271572,38.7521293241,1491220800000,3417623.76362,3347957.8999,3123.90422154,3041.18295615
3631.782143,563.562977467,66.6660029837,38.1619069648,1491307200000,3176677.57528,3111700.74454,2996.78291713,2917.39962196
3771.02884449,585.500745775,66.6425473816,38.1476512538,1491393600000,3350379.00792,3282117.50813,3069.7101012,2988.43164176
3713.14242957,575.171801519,68.8966500287,39.4251182914,1491480000000,3430892.84946,3360607.37372,3299.53245985,3212.25466426
3674.88689906,569.534577192,69.4658657763,39.7591737662,1491566400000,3347434.65963,3278721.36123,3259.12919467,3172.84660986
